Total_n,Quantile,Threshold,n_exceedances,mean,std,skewness,kurtosis,L1,L2,tau3_Lskewness,tau4_Lkurtosis,GPD_shape_Lmoment,GPD_scale_Lmoment,GPD_shape_MLE,GPD_scale_MLE,AD_stat_Lmoment,Bootstrap_pval_Lmoment,AD_stat_MLE,Bootstrap_pval_MLE,LogL_Lmoment,LogL_MLE,AIC_Lmoment,BIC_Lmoment,AIC_MLE,BIC_MLE,Ticker,Sector,Name
3886,0.0,0.0,3886,0.016955856298914242,0.016826745189713343,3.221105517996086,20.711948026829457,0.016955856298914242,0.007760772660798797,0.34332705679362174,0.2319320476923382,0.02231859339781861,0.01500578252625062,-0.0041321460561289155,0.01702732615089972,117.29234293941727,0.0,78.69923281396223,0.0,11935.765133410769,11957.835483287578,-23867.530266821537,-23854.999995561662,-23911.670966575155,-23899.14069531528,000080.KS,Consumer_Staples,HiteJinro
3886,0.5,0.012552490882048368,1943,0.014863927948604163,0.018293560417208244,3.3646802031967393,19.700358553306614,0.014863927948604163,0.008060630077135375,0.4202486084053752,0.2460312349892433,0.18359167801536205,0.011953357174569357,0.1652125841959989,0.012392922532204765,1.7441463711586493,0.146,0.9404879137671287,0.41,6266.34848417992,6266.91300458269,-12528.69696835984,-12517.552991461085,-12529.82600916538,-12518.682032266624,000080.KS,Consumer_Staples,HiteJinro
3886,0.55,0.014084688079193336,1749,0.014894143149293059,0.018636069891736204,3.3315000874886183,19.124553602494558,0.014894143149293059,0.008208664075560479,0.42222084749675864,0.24683286226449475,0.18749728142406782,0.01208859903426133,0.18784624744401546,0.012096917359736708,0.29829581756052903,0.932,0.2969795682010954,0.952,5644.030379359543,5644.031010389843,-11284.060758719086,-11273.127159769048,-11284.062020779686,-11273.128421829648,000080.KS,Consumer_Staples,HiteJinro
3886,0.6,0.015504241513618637,1554,0.01525806451854601,0.01903509618153885,3.289104483347696,18.450874952372004,0.01525806451854601,0.008386619304056552,0.42335512965139555,0.2485775292634914,0.18973858549294748,0.012301367180750445,0.1847504295487771,0.012436430213142544,0.4152146845731295,0.838,0.3407363484475354,0.902,4976.44685791346,4976.487099806973,-9948.89371582692,-9938.196540765064,-9948.974199613946,-9938.27702455209,000080.KS,Consumer_Staples,HiteJinro
3886,0.65,0.017192380152598226,1360,0.015623678702095634,0.01949871096053116,3.2370049535265126,17.674934431265445,0.015623678702095635,0.008596717684282868,0.42433538267303395,0.2510902951255563,0.1916726575357234,0.01256599791338289,0.186867882185543,0.012703623717278699,0.4614104389706881,0.768,0.3958397446467643,0.844,4323.458009683814,4323.492444452177,-8642.916019367629,-8632.485539410169,-8642.984888904353,-8632.554408946893,000080.KS,Consumer_Staples,HiteJinro
3886,0.7,0.019293261249972927,1166,0.015952357574043865,0.02005029702801791,3.1717879936053426,16.766087011053553,0.015952357574043865,0.008850730262310046,0.4251743887082368,0.255373626305488,0.19332593141421922,0.012899028807592092,0.19962512140683758,0.012779699549546088,0.5714746698929503,0.644,0.567004217339445,0.694,3684.8716885532585,3684.8948570011444,-7365.743377106517,-7355.620708372696,-7365.789714002289,-7355.6670452684675,000080.KS,Consumer_Staples,HiteJinro
3886,0.75,0.02150613846068476,972,0.016714721120272766,0.020711541552332263,3.092826523479249,15.708811728145465,0.016714721120272766,0.009151181711610978,0.4281237879044345,0.26335357142296295,0.19912234928218484,0.013198590720722643,0.18232049482353763,0.013663416273919675,0.9819567485938023,0.35,0.6154217893806617,0.644,3023.3446691215963,3023.5976097524667,-6042.689338243193,-6032.930626634272,-6043.195219504933,-6033.436507896013,000080.KS,Consumer_Staples,HiteJinro
3886,0.8,0.024660596079349464,777,0.017375853861611543,0.021536840596642542,2.9932882163428407,14.433499839328334,0.01737585386161154,0.009511253339617705,0.44023924714838825,0.26880224095527594,0.22268365626070258,0.013140148804371385,0.18560161794201357,0.014149356260488877,2.1492326693702353,0.084,1.0270929140914404,0.338,2386.401450304851,2387.3247077761343,-4768.802900609702,-4759.4920199089665,-4770.649415552269,-4761.338534851533,000080.KS,Consumer_Staples,HiteJinro
3886,0.85,0.029194121185513844,583,0.01786845610271782,0.02272386812697315,2.82203849641321,12.660256181901156,0.01786845610271782,0.010103502105926553,0.45152279525140127,0.26285321001149725,0.2442733844168069,0.01340582503106164,0.2358394467014256,0.013722175886455794,0.4359044640924594,0.802,0.3739563848974967,0.868,1779.780384357398,1779.8469911860575,-3555.560768714796,-3546.824394342095,-3555.693982372115,-3546.957607999414,000080.KS,Consumer_Staples,HiteJinro
3886,0.9,0.034824666681471134,389,0.019742425342270876,0.024561945655568844,2.5229045565618513,10.173263705014993,0.019742425342270876,0.011199450384652846,0.4422498950692716,0.2506562182019913,0.22655552711419755,0.015361847360021275,0.23864146640568618,0.015152201906376676,0.2457065778737615,0.98,0.21474841239370335,0.986,1147.9338632471497,1147.9528985915788,-2291.8677264942994,-2283.9405678070625,-2291.9057971831576,-2283.9786384959207,000080.KS,Consumer_Staples,HiteJinro
3886,0.95,0.04636613853077564,195,0.023002810176014257,0.02744990383041359,2.0118904141862077,6.731184649779081,0.023002810176014254,0.013145510897077002,0.42209843703470284,0.22085959795456803,0.18725518864880827,0.019367267266865818,0.24604608170353912,0.01759642397459199,1.019588626044282,0.352,0.5287733380448856,0.71,544.5215625114187,544.8398760624508,-1085.0431250228373,-1078.49712590571,-1085.6797521249016,-1079.1337530077742,000080.KS,Consumer_Staples,HiteJinro
