quantile,threshold,tau3_emp,tau4_emp,tau4_theory,error,Ticker,Name,Sector
0.8200000000000001,0.026447897061895185,0.4472414635164092,0.26738618308468237,0.2657062490531813,3.997430472941934e-05,000080.KS,HiteJinro,Consumer_Staples
0.8300000000000001,0.027457602765152068,0.44992943771516086,0.2659020328804048,0.26828089226445906,7.86245293182645e-05,000080.KS,HiteJinro,Consumer_Staples
0.53,0.013495459870792027,0.42196282860415174,0.246248089056766,0.24202046633360252,0.00030513235452438295,000080.KS,HiteJinro,Consumer_Staples
0.54,0.013793507565901269,0.4220810585847587,0.2465303719187735,0.24212901734220516,0.00033042966887867367,000080.KS,HiteJinro,Consumer_Staples
0.8400000000000001,0.028376135447990593,0.45113798206877903,0.26445009199188924,0.2694419736256269,0.00034324012848451526,000080.KS,HiteJinro,Consumer_Staples
0.9299999999999999,0.040272274248927674,0.5172016958535912,0.3311341470611818,0.33616492002034687,0.0002239570060885924,000100.KS,Yuhan,Health_Care
0.9199999999999999,0.03815920742415118,0.5080039701652558,0.3345787004595479,0.32649652186608913,0.0006127732065017073,000100.KS,Yuhan,Health_Care
0.91,0.036563799263627836,0.5002313015338195,0.3329169585940364,0.3184208046335278,0.0020725390155791456,000100.KS,Yuhan,Health_Care
0.88,0.03278990218344811,0.48612153883175296,0.3208140380120049,0.3039838398781881,0.003065331613480769,000100.KS,Yuhan,Health_Care
0.8400000000000001,0.029207149369220857,0.4730117783778366,0.3071852644444499,0.29082935598403326,0.003162808223655569,000100.KS,Yuhan,Health_Care
0.73,0.026177061263819565,0.5020889335634493,0.3226700315517032,0.32034295353643666,5.2770539675476696e-05,000120.KS,CJ Logistics,Industrials
0.75,0.02753010959774285,0.5025071705968971,0.3231356895328075,0.3207764021708529,5.409496679723099e-05,000120.KS,CJ Logistics,Industrials
0.74,0.02681578004740125,0.5022580592558678,0.3229119939136887,0.3205182001099616,5.577866124095564e-05,000120.KS,CJ Logistics,Industrials
0.72,0.025558111977519418,0.5016790720778675,0.3225277135139355,0.31991842959637967,6.652182515193847e-05,000120.KS,CJ Logistics,Industrials
0.71,0.02506469159211717,0.5013330697033428,0.32233737157389586,0.31956023773143893,7.552455073957212e-05,000120.KS,CJ Logistics,Industrials
0.78,0.03578510846549744,0.41366082479486904,0.2356878728353125,0.23445081908928397,2.7840281921083898e-05,000150.KS,Doosan,Heavy_Industries
0.77,0.03489112113116811,0.41346664118212617,0.23558232443919283,0.23427501120748184,3.113919484637369e-05,000150.KS,Doosan,Heavy_Industries
0.75,0.033197946327063625,0.4131449008344782,0.23533545291948277,0.23398384293516283,3.336806658356622e-05,000150.KS,Doosan,Heavy_Industries
0.76,0.03406660815687914,0.4132688603501791,0.2354708880466296,0.2340960051527688,3.449398832658904e-05,000150.KS,Doosan,Heavy_Industries
0.97,0.0803572228093878,0.3605563951088341,0.1896583611827332,0.18851792442670592,3.659629443550472e-05,000150.KS,Doosan,Heavy_Industries
0.8200000000000001,0.03892687443153983,0.45189539744187024,0.2712618965324178,0.27017074635708,1.6311443964162458e-05,000210.KS,DL,Energy_Chemicals
0.8300000000000001,0.04019629943455433,0.4545025012792472,0.2697222321613801,0.27268575260087885,0.00011811116661940235,000210.KS,DL,Energy_Chemicals
0.8400000000000001,0.04138512839104945,0.45534988722735636,0.26834964723008947,0.27350536941921433,0.0003553426215684034,000210.KS,DL,Energy_Chemicals
0.81,0.037740268486972525,0.44807354754502615,0.2724617435676806,0.2665021048122975,0.0005000789621757441,000210.KS,DL,Energy_Chemicals
0.87,0.04507718383764111,0.4528247611004002,0.26448942206600495,0.27106612575796246,0.00058866207070348,000210.KS,DL,Energy_Chemicals
0.86,0.03755540608886636,0.45132418260437895,0.2682673498914499,0.2696210539655958,2.5208085771058675e-05,000240.KS,Hankook & Company,Consumer_Discretionary
0.95,0.054036803919008204,0.4196178073802691,0.2376683941842681,0.2398717723163198,8.437616490190968e-05,000240.KS,Hankook & Company,Consumer_Discretionary
0.8500000000000001,0.036292039719848256,0.44766742690095335,0.2698240417222158,0.26611353793053655,0.00019441591860410972,000240.KS,Hankook & Company,Consumer_Discretionary
0.87,0.03899086420634001,0.45344012286747937,0.2661235145352352,0.2716596890439268,0.00041530689757902266,000240.KS,Hankook & Company,Consumer_Discretionary
0.8400000000000001,0.03527667153550781,0.44370843657015524,0.2703438434270279,0.2623385026270057,0.0009311841600815078,000240.KS,Hankook & Company,Consumer_Discretionary
0.75,0.026629266456552267,0.42274237526212655,0.24309690936771056,0.24273658296551878,2.2035438770951256e-06,000270.KS,Kia,Consumer_Discretionary
0.74,0.025927440991347025,0.4225599218521898,0.24313699852853812,0.24256889339851684,5.485133575396111e-06,000270.KS,Kia,Consumer_Discretionary
0.8400000000000001,0.03333646219053031,0.42491906224829706,0.2439814876450627,0.2447409987731517,9.630632853934336e-06,000270.KS,Kia,Consumer_Discretionary
0.76,0.027255312283063455,0.4224144886836156,0.24337224840506202,0.24243526434143095,1.4937324808445552e-05,000270.KS,Kia,Consumer_Discretionary
0.8,0.02994832730519205,0.42308843717617717,0.24415446784166184,0.24305477972684894,2.0470607470564115e-05,000270.KS,Kia,Consumer_Discretionary
0.5,0.01767350416001849,0.43184609277235053,0.2507059835259754,0.25116715545409624,3.371320434921914e-06,000720.KS,Hyundai E&C,Constructions
0.51,0.018064300338288538,0.4321180152693584,0.2505106244733015,0.25142088353602965,1.310772516037394e-05,000720.KS,Hyundai E&C,Constructions
