Ticker,Quantile,Threshold,MRL,NumExceedances
000080.KS,0.01,2.883931344240539e-08,0.017127721891015097,3847
000080.KS,0.02,8.296211324573364e-08,0.01730308274490187,3808
000080.KS,0.03,1.4164581668990282e-07,0.017482068684557015,3769
000080.KS,0.04,0.0014020122625057801,0.016256968901056528,3730
000080.KS,0.05,0.00173541202976295,0.016093813396939306,3691
000080.KS,0.060000000000000005,0.0020553085897315297,0.015943563219233518,3652
000080.KS,0.06999999999999999,0.0022444619795857546,0.015921038989213983,3614
000080.KS,0.08,0.00236125624045638,0.015977324012114068,3575
000080.KS,0.09,0.00245184397211251,0.01606248945780082,3536
000080.KS,0.09999999999999999,0.00267384559746735,0.016018686242415422,3497
000080.KS,0.11,0.00290838623277994,0.015963305967399057,3458
000080.KS,0.12,0.0033322613898198196,0.015719791131517603,3419
000080.KS,0.13,0.003914122628786295,0.015315609433061511,3380
000080.KS,0.14,0.00414910041826225,0.01525341552956893,3342
000080.KS,0.15000000000000002,0.00436207881644205,0.015219281517141336,3303
000080.KS,0.16,0.00453512637007556,0.015227212541080982,3264
000080.KS,0.17,0.004755626869283775,0.015189550063284292,3225
000080.KS,0.18000000000000002,0.00491398301121631,0.015216277674118367,3186
000080.KS,0.19,0.005153473126007523,0.015164591003290658,3147
000080.KS,0.2,0.005550512053072,0.014954711189077383,3108
000080.KS,0.21000000000000002,0.005806731637148906,0.014882162108700197,3070
000080.KS,0.22,0.0060144424336405905,0.014864628880808733,3031
000080.KS,0.23,0.006323748362638556,0.01474705628834118,2992
000080.KS,0.24000000000000002,0.0065717651632346,0.014697218121254173,2952
000080.KS,0.25,0.006722807944324875,0.014736901276892379,2914
000080.KS,0.26,0.0068886592102990795,0.014769700410360926,2875
000080.KS,0.27,0.007134040481552826,0.014720458920153846,2837
000080.KS,0.28,0.007311970417602341,0.014746484187767993,2798
000080.KS,0.29000000000000004,0.0075313387052152155,0.014734111061011692,2759
000080.KS,0.3,0.007843114338305649,0.014631205778666244,2720
000080.KS,0.31,0.008090168893640219,0.014595139446516478,2681
000080.KS,0.32,0.00831603879800866,0.014582677603793875,2642
000080.KS,0.33,0.00846327044534544,0.014652699641983378,2603
000080.KS,0.34,0.008731700812466062,0.014599468767948936,2565
000080.KS,0.35000000000000003,0.0089286068128532,0.01462661472826436,2526
000080.KS,0.36000000000000004,0.00913262297239746,0.01465034998232494,2487
000080.KS,0.37,0.009389741753068646,0.014624510194417118,2448
000080.KS,0.38,0.009592130606986481,0.014657362030244458,2409
000080.KS,0.39,0.0097734201152153,0.014715681292983873,2370
000080.KS,0.4,0.0099502953732545,0.014783548222276418,2331
000080.KS,0.41000000000000003,0.010269299724919953,0.014707009689078876,2293
000080.KS,0.42000000000000004,0.010575590587143347,0.014652683809658229,2254
000080.KS,0.43,0.010802292735827914,0.014681744315962721,2215
000080.KS,0.44,0.011041667192307703,0.014703471205240471,2176
000080.KS,0.45,0.011336072387564376,0.01467490325282725,2137
000080.KS,0.46,0.01156091712011872,0.014720769362030742,2098
000080.KS,0.47000000000000003,0.011834460009999,0.014716187420357026,2060
000080.KS,0.48000000000000004,0.012045552376487467,0.014787072830432678,2021
000080.KS,0.49,0.01227013051443826,0.014851121657562376,1982
000080.KS,0.5,0.0125524908820483,0.01486392794860418,1943
000080.KS,0.51,0.012840922841687022,0.014876774518826593,1904
000080.KS,0.52,0.0131869800079713,0.014837994493241628,1865
000080.KS,0.53,0.013495459870791935,0.01484346440435017,1826
000080.KS,0.54,0.01379350756590125,0.014857118459570039,1788
000080.KS,0.55,0.0140846880791933,0.014894143149293049,1749
000080.KS,0.56,0.01438872868714782,0.01492637632963167,1710
000080.KS,0.5700000000000001,0.01463977204616066,0.0150207827352724,1671
000080.KS,0.5800000000000001,0.01481519124610744,0.015201960072133222,1632
000080.KS,0.59,0.01516829011849115,0.01521674744968592,1593
000080.KS,0.6,0.0155042415136186,0.015258064518546001,1554
000080.KS,0.61,0.015815103020316613,0.015325412038202054,1516
000080.KS,0.62,0.01622285758481478,0.015316989928259157,1477
000080.KS,0.63,0.016540887006425514,0.015410672806549433,1438
000080.KS,0.64,0.01685432938931746,0.015521417942033,1399
000080.KS,0.65,0.01719238015259815,0.015623678702095661,1360
000080.KS,0.66,0.01756681284771209,0.015704475021582846,1321
