,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
,047040.KS,047040.KS,047040.KS,047040.KS,047040.KS,375500.KS,375500.KS,375500.KS,375500.KS,375500.KS,028260.KS,028260.KS,028260.KS,028260.KS,028260.KS,000720.KS,000720.KS,000720.KS,000720.KS,000720.KS,028050.KS,028050.KS,028050.KS,028050.KS,028050.KS,052690.KS,052690.KS,052690.KS,052690.KS,052690.KS,300720.KS,300720.KS,300720.KS,300720.KS,300720.KS,006360.KS,006360.KS,006360.KS,006360.KS,006360.KS
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-04,,,,,,,,,,,,,,,,273958.4375,273958.4375,249450.97142747164,249450.97142747164,70240.0,5916.6181640625,5916.6181640625,5124.280061991552,5124.280061991552,508900.0,,,,,,,,,,,3673.31103515625,3869.096638807807,3286.401273786273,3337.6783976657302,1032219.0
2000-01-05,,,,,,,,,,,,,,,,271332.71875,277897.21227889985,256015.5503638579,266956.38132137887,74643.0,6109.14990234375,6590.47686434659,5553.772638494318,5916.619117542613,1938100.0,,,,,,,,,,,3673.31103515625,3813.157825272222,3542.7871369065515,3677.9724810893863,864001.0
2000-01-06,,,,,,,,,,,,,,,,250763.9375,277897.19787767075,249888.67510524648,275709.04189078696,40607.0,5538.9619140625,6353.51513671875,5420.4814453125,6286.869873046875,862800.0,,,,,,,,,,,3347.002197265625,3794.5123068857024,3347.002197265625,3794.5123068857024,460751.0
2000-01-07,,,,,,,,,,,,,,,,253827.34375,262142.36050437103,252952.05625601372,254264.9748829638,39823.0,5968.4541015625,6146.174819226892,5442.696978472007,5561.177456914935,1315200.0,,,,,,,,,,,3356.324951171875,3496.171753051492,3347.0018147983665,3356.324951171875,510006.0
2000-01-10,,,,,,,,,,,,,,,,255140.28125,266956.3743385569,254702.65004139143,266956.3743385569,39834.0,5775.9228515625,6286.869873046875,5775.9228515625,6160.984375,1405400.0,,,,,,,,,,,3468.201904296875,3500.83275331323,3356.3242898585763,3398.278273411456,638498.0
2000-01-11,,,,,,,,,,,,,,,,249888.65625,261267.1169793633,249451.0250856445,255140.25545032616,41723.0,5657.44287109375,5894.40382904532,5575.987541797897,5635.22778128579,1043900.0,,,,,,,,,,,3402.940185546875,3463.540442144136,3333.0167938021145,3463.540442144136,397040.0
2000-01-12,,,,,,,,,,,,,,,,240698.390625,245074.72821084457,240260.759389222,245074.72821084457,40961.0,5479.72119140625,5768.5173082506335,5450.101076858108,5568.581535050676,683200.0,,,,,,,,,,,3356.324951171875,3365.6480875453835,3314.3709593525928,3356.324951171875,357314.0
