quantile,threshold,tau3_emp,tau4_emp,tau4_theory,error,Ticker,Name,Sector
0.8200000000000001,0.02644789706189517,0.44724146351640914,0.26738618308468226,0.2657062490531813,3.997430472941653e-05,000080.KS,HiteJinro,Consumer_Staples
0.8300000000000001,0.027457602765152012,0.44992943771516053,0.2659020328804047,0.2682808922644587,7.862452931824874e-05,000080.KS,HiteJinro,Consumer_Staples
0.53,0.013495459870791935,0.42196282860415174,0.2462480890567661,0.24202046633360252,0.0003051323545243907,000080.KS,HiteJinro,Consumer_Staples
0.54,0.01379350756590125,0.4220810585847586,0.24653037191877333,0.24212901734220504,0.0003304296688786656,000080.KS,HiteJinro,Consumer_Staples
0.8400000000000001,0.028376135447990548,0.4511379820687791,0.26445009199188924,0.26944197362562694,0.0003432401284845235,000080.KS,HiteJinro,Consumer_Staples
0.93,0.0402722742489276,0.5172016958535912,0.3311341470611819,0.33616492002034687,0.00022395700608858577,000100.KS,Yuhan,Health_Care
0.92,0.038159207424151104,0.5080039701652559,0.3345787004595481,0.32649652186608924,0.0006127732065017183,000100.KS,Yuhan,Health_Care
0.91,0.036563799263627794,0.5002313015338195,0.3329169585940365,0.3184208046335278,0.002072539015579186,000100.KS,Yuhan,Health_Care
0.88,0.03278990218344807,0.4861215388317527,0.320814038012005,0.30398383987818783,0.0030653316134809164,000100.KS,Yuhan,Health_Care
0.8400000000000001,0.0292071493692208,0.4730117783778366,0.3071852644444498,0.29082935598403326,0.0031628082236555438,000100.KS,Yuhan,Health_Care
0.73,0.026177061263819478,0.5020889335634495,0.3226700315517034,0.3203429535364369,5.277053967547347e-05,000120.KS,CJ Logistics,Industrials
0.75,0.0275301095977428,0.5025071705968969,0.3231356895328073,0.3207764021708527,5.409496679723099e-05,000120.KS,CJ Logistics,Industrials
0.74,0.02681578004740124,0.5022580592558676,0.32291199391368863,0.32051820010996157,5.577866124095564e-05,000120.KS,CJ Logistics,Industrials
0.72,0.025558111977519404,0.5016790720778675,0.3225277135139354,0.31991842959637967,6.652182515193484e-05,000120.KS,CJ Logistics,Industrials
0.7100000000000001,0.025064691592117102,0.5013330697033428,0.3223373715738959,0.31956023773143893,7.552455073957212e-05,000120.KS,CJ Logistics,Industrials
0.78,0.0357851084654974,0.41366082479486904,0.2356878728353124,0.23445081908928397,2.7840281921079212e-05,000150.KS,Doosan,Heavy_Industries
0.77,0.034891121131168074,0.4134666411821263,0.23558232443919302,0.2342750112074819,3.113919484638113e-05,000150.KS,Doosan,Heavy_Industries
0.75,0.03319794632706355,0.4131449008344785,0.23533545291948274,0.23398384293516317,3.336806658354826e-05,000150.KS,Doosan,Heavy_Industries
0.76,0.0340666081568791,0.4132688603501792,0.23547088804662958,0.23409600515276882,3.4493988326586434e-05,000150.KS,Doosan,Heavy_Industries
0.97,0.08035722280938773,0.36055639510883414,0.18965836118273327,0.188517924426706,3.659629443550472e-05,000150.KS,Doosan,Heavy_Industries
0.8200000000000001,0.03892687443153978,0.4518953974418704,0.2712618965324177,0.2701707463570802,1.631144396415349e-05,000210.KS,DL,Energy_Chemicals
0.8300000000000001,0.04019629943455426,0.4545025012792472,0.2697222321613802,0.27268575260087885,0.00011811116661939511,000210.KS,DL,Energy_Chemicals
0.8400000000000001,0.04138512839104941,0.4553498872273563,0.26834964723008947,0.2735053694192142,0.00035534262156839086,000210.KS,DL,Energy_Chemicals
0.81,0.037740268486972504,0.44807354754502615,0.2724617435676804,0.2665021048122975,0.0005000789621757044,000210.KS,DL,Energy_Chemicals
0.87,0.045077183837641054,0.45282476110040026,0.26448942206600484,0.2710661257579625,0.0005886620707035123,000210.KS,DL,Energy_Chemicals
0.86,0.037555406088866296,0.4513241826043792,0.2682673498914499,0.26962105396559605,2.5208085771066478e-05,000240.KS,Hankook & Company,Consumer_Discretionary
0.9500000000000001,0.05403680391900817,0.4196178073802691,0.2376683941842681,0.2398717723163198,8.437616490190968e-05,000240.KS,Hankook & Company,Consumer_Discretionary
0.85,0.03629203971984817,0.4476674269009536,0.2698240417222159,0.2661135379305368,0.00019441591860409733,000240.KS,Hankook & Company,Consumer_Discretionary
0.87,0.03899086420633999,0.4534401228674793,0.2661235145352352,0.2716596890439267,0.0004153068975790091,000240.KS,Hankook & Company,Consumer_Discretionary
0.8400000000000001,0.03527667153550775,0.44370843657015513,0.27034384342702805,0.2623385026270056,0.0009311841600815755,000240.KS,Hankook & Company,Consumer_Discretionary
0.75,0.02662926645655225,0.42274237526212655,0.24309690936771056,0.24273658296551878,2.2035438770951256e-06,000270.KS,Kia,Consumer_Discretionary
0.74,0.02592744099134695,0.4225599218521898,0.2431369985285381,0.24256889339851684,5.485133575396111e-06,000270.KS,Kia,Consumer_Discretionary
0.8400000000000001,0.03333646219053027,0.42491906224829706,0.2439814876450627,0.2447409987731517,9.630632853934336e-06,000270.KS,Kia,Consumer_Discretionary
0.76,0.027255312283063406,0.4224144886836155,0.2433722484050619,0.24243526434143087,1.4937324808443835e-05,000270.KS,Kia,Consumer_Discretionary
0.8,0.029948327305192004,0.42308843717617706,0.24415446784166184,0.24305477972684886,2.0470607470566124e-05,000270.KS,Kia,Consumer_Discretionary
0.49,0.017303063568688153,0.43149382083653515,0.25090635437223613,0.2508386187811697,7.291972938775872e-08,000720.KS,Hyundai E&C,Constructions
0.5,0.0176735041600184,0.43184609277235064,0.25070598352597545,0.2511671554540964,3.371320434923545e-06,000720.KS,Hyundai E&C,Constructions
