,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
,017670.KS,017670.KS,017670.KS,017670.KS,017670.KS,036570.KS,036570.KS,036570.KS,036570.KS,036570.KS,035420.KS,035420.KS,035420.KS,035420.KS,035420.KS,032640.KS,032640.KS,032640.KS,032640.KS,032640.KS,352820.KS,352820.KS,352820.KS,352820.KS,352820.KS,251270.KS,251270.KS,251270.KS,251270.KS,251270.KS,030000.KS,030000.KS,030000.KS,030000.KS,030000.KS,259960.KS,259960.KS,259960.KS,259960.KS,259960.KS,035720.KS,035720.KS,035720.KS,035720.KS,035720.KS,030200.KS,030200.KS,030200.KS,030200.KS,030200.KS
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-15,27170.814453125,29752.041781299693,27170.814453125,29752.041781299693,1131993.0,,,,,,,,,,,,,,,,,,,,,,,,,,2546.18994140625,2668.40705859375,2505.45090234375,2648.0375390625,1120000.0,,,,,,40879.29296875,48679.25001795977,40879.29296875,46987.69306752874,3243000.0,44790.66796875,48583.42614352319,43887.63030808972,48402.81861139113,1338200.0
2000-02-16,27170.814453125,27170.814453125,25876.965504802178,26523.889978963587,1185263.0,,,,,,,,,,,,,,,,,,,,,,,,,,2444.34130859375,2546.1888631184897,2413.7870422363285,2505.449841308594,1540000.0,,,,,,45766.0078125,45766.0078125,37590.150154004106,39469.65766170431,4357000.0,44429.44921875,45513.09432164634,41720.33646150915,44790.66425304878,1321700.0
2000-02-17,27241.970703125,27947.11896422976,26523.88579433742,26523.88579433742,759101.0,,,,,,,,,,,,,,,,,,,,,,,,,,2444.34130859375,2637.851662190756,2362.8632649739584,2403.602286783854,1767500.0,,,,,,45766.0078125,50276.82583098049,44168.42643095482,46235.884689425046,5099000.0,44068.234375,44429.44941086065,41900.94415983607,41900.94415983607,1524600.0
2000-02-18,24583.115234375,28788.122968470158,24583.115234375,27241.973535941743,807932.0,,,,,,,,,,,,,,,,,,,,,,,,,,2668.406982421875,2749.885058221016,2525.820349773378,2546.1898687231637,2255000.0,,,,,,42852.765625,48209.361328125,42288.91344572369,47081.65696957237,4561500.0,42623.37109375,46235.52118644068,42623.37109375,44068.23113082627,1653900.0
2000-02-21,26465.662109375,27300.19480261156,25618.192768355875,25883.42994563766,1047648.0,,,,,,,,,,,,,,,,,,,,,,,,,,2749.885009765625,2841.547843424479,2556.3745831524884,2668.406935402199,1935000.0,,,,,,38811.828125,42852.76906779661,37872.07441737288,39469.65572033898,2943000.0,40094.8671875,41900.94228603604,39914.2596776464,41539.72726632883,1042800.0
2000-02-22,27901.8359375,28464.658677764648,26782.6565376602,27261.37984400228,643682.0,,,,,,,,,,,,,,,,,,,,,,,,,,2821.177978515625,2912.84080092227,2698.960881973432,2749.884672199346,1932500.0,,,,,,36838.3515625,41725.07166772959,35898.5976961097,40409.416254783166,2408500.0,41359.12109375,42262.15867221616,39372.43842112445,40094.86848389738,1217900.0
2000-02-23,28335.27734375,29046.89405683934,25941.658306489157,27947.123996760773,1349513.0,,,,,,,,,,,,,,,,,,,,,,,,,,2780.43896484375,2902.6560621995195,2760.069448617789,2821.1779972956733,810000.0,,,,,,33831.13671875,36274.49659288194,32421.506022135414,35146.792035590275,2307500.0,41539.72265625,42081.54512567935,40094.86273777174,41178.507676630434,1272700.0
2000-02-24,28082.98046875,29564.43798950007,27830.679862540244,28464.665540993603,741344.0,,,,,,,,,,,,,,,,,,,,,,,,,,2810.993408203125,2912.840995456861,2739.7000971255097,2739.7000971255097,1102500.0,,,,,,37872.078125,37872.078125,35710.64438585608,37402.20122518611,990500.0,41178.51171875,42442.764271518645,40817.29670367325,41539.72673382676,913700.0
2000-02-25,28801.064453125,29240.9711371106,27759.516034440185,28082.977161430936,976621.0,,,,,,,,,,,,,,,,,,,,,,,,,,3085.982666015625,3177.6455174814355,2902.656963084004,2953.580769453898,3755000.0,,,,,,37590.1484375,41631.08939453125,37214.246953125,41255.18791015625,2525500.0,39372.44921875,40456.09461009174,38469.41139263188,39372.44921875,1651600.0
2000-02-28,27170.814453125,29299.19397630399,27170.814453125,29299.19397630399,1114236.0,,,,,,,,,,,,,,,,,,,,,,,,,,3096.166259765625,3340.600438168174,3075.7967448987456,3157.2748043662623,3977500.0,,,,,,34582.94140625,38529.90754500679,34488.96602199388,35710.646017323365,2360000.0,35326.8359375,39011.22986963191,35110.10688266871,38830.62232393916,1706600.0
