Ticker,Quantile,Threshold,tau3,tau4
000080.KS,0.01,2.883931344240539e-08,0.3463658012924285,0.23246042249944238
000080.KS,0.02,8.296211324573364e-08,0.34991629317232603,0.23262855303489166
000080.KS,0.03,1.4164581668990282e-07,0.3540263780608207,0.23237455996960502
000080.KS,0.04,0.0014020122625057801,0.35767342827061344,0.23225076820271434
000080.KS,0.05,0.00173541202976295,0.36001613775815117,0.23280829151087062
000080.KS,0.060000000000000005,0.0020553085897315297,0.3620591620391745,0.2335070135018498
000080.KS,0.06999999999999999,0.0022444619795857546,0.36408594310047304,0.23414626328196578
000080.KS,0.08,0.00236125624045638,0.3663261917160944,0.23468327467316233
000080.KS,0.09,0.00245184397211251,0.36883932569905525,0.2350215724297115
000080.KS,0.09999999999999999,0.00267384559746735,0.37159494497545686,0.23515717148745716
000080.KS,0.11,0.00290838623277994,0.3743247042297297,0.235230472681048
000080.KS,0.12,0.0033322613898198196,0.3770644418586502,0.23521451413931277
000080.KS,0.13,0.003914122628786295,0.37908523438187847,0.2355292372213041
000080.KS,0.14,0.00414910041826225,0.3807220357111558,0.235988585198318
000080.KS,0.15000000000000002,0.00436207881644205,0.3823815857778555,0.2364444688037615
000080.KS,0.16,0.00453512637007556,0.38412148355551606,0.2368255457888933
000080.KS,0.17,0.004755626869283775,0.3858868763212282,0.2371547051641332
000080.KS,0.18000000000000002,0.00491398301121631,0.3877407067020861,0.23739150548758486
000080.KS,0.19,0.005153473126007523,0.389768150311426,0.23747552169978228
000080.KS,0.2,0.005550512053072,0.391338245878077,0.23775699083641574
000080.KS,0.21000000000000002,0.005806731637148906,0.39274891442849563,0.23806403114108393
000080.KS,0.22,0.0060144424336405905,0.3941170404714258,0.23839330958008695
000080.KS,0.23,0.006323748362638556,0.39536205572375527,0.2387630578405163
000080.KS,0.24000000000000002,0.0065717651632346,0.39647046647570444,0.23921733604401452
000080.KS,0.25,0.006722807944324875,0.3975338016744138,0.23963191036663498
000080.KS,0.26,0.0068886592102990795,0.3987013725898884,0.23999908680535684
000080.KS,0.27,0.007134040481552826,0.39985848814278696,0.24032341362074094
000080.KS,0.28,0.007311970417602341,0.4010505391730984,0.24062967311549968
000080.KS,0.29000000000000004,0.0075313387052152155,0.40229864288606154,0.2408750635564304
000080.KS,0.3,0.007843114338305649,0.40337150446040954,0.24118489272162447
000080.KS,0.31,0.008090168893640219,0.4042808503492119,0.24156807046027182
000080.KS,0.32,0.00831603879800866,0.40505372447943244,0.24202008851820547
000080.KS,0.33,0.00846327044534544,0.4059285813851335,0.24241348011585642
000080.KS,0.34,0.008731700812466062,0.406834531049802,0.2427543051316924
000080.KS,0.35000000000000003,0.0089286068128532,0.40771980852999623,0.24311567985891483
000080.KS,0.36000000000000004,0.00913262297239746,0.4086233412532855,0.2434528930967719
000080.KS,0.37,0.009389741753068646,0.40948986914421437,0.24379507809596987
000080.KS,0.38,0.009592130606986481,0.4103707491327118,0.24411621343698556
000080.KS,0.39,0.0097734201152153,0.4113174464502169,0.24438238869899073
000080.KS,0.4,0.0099502953732545,0.41245052669087623,0.2445148883286848
000080.KS,0.41000000000000003,0.010269299724919953,0.4135469977428197,0.24460035281221826
000080.KS,0.42000000000000004,0.010575590587143347,0.4144455979370016,0.24477036232479168
000080.KS,0.43,0.010802292735827914,0.41518083842987946,0.24500535942214974
000080.KS,0.44,0.011041667192307703,0.41599416127786176,0.24517563660916825
000080.KS,0.45,0.011336072387564376,0.4167437862046985,0.24535186460761352
000080.KS,0.46,0.01156091712011872,0.4174070705919786,0.24555479510846742
000080.KS,0.47000000000000003,0.011834460009999,0.41801955642861144,0.24575292128107915
000080.KS,0.48000000000000004,0.012045552376487467,0.4186771086797229,0.24592472591069917
000080.KS,0.49,0.01227013051443826,0.4194402964303084,0.24601088226419204
000080.KS,0.5,0.0125524908820483,0.4202486084053755,0.24603123498924337
000080.KS,0.51,0.012840922841687022,0.4209733145228145,0.2460521272667353
000080.KS,0.52,0.0131869800079713,0.42152979666364676,0.24612697021833801
000080.KS,0.53,0.013495459870791935,0.42196282860415174,0.2462480890567661
000080.KS,0.54,0.01379350756590125,0.4220810585847586,0.24653037191877333
000080.KS,0.55,0.0140846880791933,0.4222208474967591,0.2468328622644949
000080.KS,0.56,0.01438872868714782,0.42224405221450406,0.2472300761942433
000080.KS,0.5700000000000001,0.01463977204616066,0.42226069658391663,0.24767528126902796
000080.KS,0.5800000000000001,0.01481519124610744,0.4225349092416641,0.24802516966776977
000080.KS,0.59,0.01516829011849115,0.42304204246295096,0.2482480032133407
000080.KS,0.6,0.0155042415136186,0.42335512965139577,0.24857752926349116
000080.KS,0.61,0.015815103020316613,0.4236354140967514,0.24893316760915352
000080.KS,0.62,0.01622285758481478,0.4238386967781044,0.24936783318603045
000080.KS,0.63,0.016540887006425514,0.424002881160079,0.24987358182750133
000080.KS,0.64,0.01685432938931746,0.4240071652636042,0.2505344874644029
000080.KS,0.65,0.01719238015259815,0.4243353826730336,0.25109029512555586
000080.KS,0.66,0.01756681284771209,0.42465044654890916,0.2517086667710739
000080.KS,0.67,0.0179776489370982,0.4250488362922101,0.25231289544913643
000080.KS,0.68,0.01839899844750496,0.42529915034164034,0.2530867330344739
000080.KS,0.6900000000000001,0.018868439451152817,0.42539331307782824,0.25405313617814285
000080.KS,0.7000000000000001,0.0192932612499729,0.4251743887082369,0.25537362630548793
000080.KS,0.7100000000000001,0.019676380986676567,0.42506893287926983,0.2568821915755421
000080.KS,0.72,0.02010888324937004,0.42531603241296545,0.2584533246755471
000080.KS,0.73,0.02050731082293485,0.42577788828518587,0.26016623311714554
000080.KS,0.74,0.021043189214561657,0.4268826340700756,0.26168847454906535
000080.KS,0.75,0.021506138460684724,0.4281237879044345,0.26335357142296295
000080.KS,0.76,0.02210158835638908,0.42982850542538414,0.2649099489355957
000080.KS,0.77,0.022619670248761797,0.4321247139104866,0.2662067678183621
000080.KS,0.78,0.023365613379246943,0.43472496081485174,0.2672562171070719
000080.KS,0.79,0.024009515471718597,0.4370393389196505,0.2683665964942888
000080.KS,0.8,0.0246605960793494,0.4402392471483883,0.2688022409552761
000080.KS,0.81,0.025439349257317997,0.4442312920717547,0.26822917190348455
000080.KS,0.8200000000000001,0.02644789706189517,0.44724146351640914,0.26738618308468226
000080.KS,0.8300000000000001,0.027457602765152012,0.44992943771516053,0.2659020328804047
000080.KS,0.8400000000000001,0.028376135447990548,0.4511379820687791,0.26445009199188924
000080.KS,0.85,0.029194121185513823,0.45152279525140127,0.26285321001149714
000080.KS,0.86,0.030381427230594817,0.4521870367945299,0.2602548170648807
000080.KS,0.87,0.0314150517413859,0.45209255147014216,0.25716230537960366
000080.KS,0.88,0.032576262923613444,0.4489668352456053,0.25487118687177973
000080.KS,0.89,0.033901393781898874,0.4454813162924154,0.25270804459687474
000080.KS,0.9,0.034824666681471106,0.4422498950692719,0.2506562182019913
000080.KS,0.91,0.03636758176423956,0.4391226596709813,0.24821839063095064
000080.KS,0.92,0.03813488254835873,0.4360179568025408,0.24562313555027154
000080.KS,0.93,0.04014249947090964,0.4351986324833997,0.24074809805617653
000080.KS,0.9400000000000001,0.04322324883265313,0.4343525132924094,0.23010991692673546
000080.KS,0.9500000000000001,0.0463661385307756,0.4220984370347029,0.22085959795456808
