Ticker,Quantile,Threshold,tau3,tau4
000080.KS,0.01,2.8839313442405386e-08,0.34636580129242817,0.2324604224994428
000080.KS,0.02,8.296211324573364e-08,0.3499162931723259,0.23262855303489155
000080.KS,0.03,1.4164581668990282e-07,0.3540263780608207,0.232374559969605
000080.KS,0.04,0.0014020122625058402,0.3576734282706135,0.2322507682027144
000080.KS,0.05,0.001735412029763021,0.36001613775815106,0.23280829151087049
000080.KS,0.060000000000000005,0.0020553085897315722,0.3620591620391742,0.23350701350184963
000080.KS,0.06999999999999999,0.0022444619795858193,0.36408594310047276,0.2341462632819654
000080.KS,0.08,0.0023612562404563943,0.3663261917160943,0.23468327467316216
000080.KS,0.09,0.002451843972112581,0.36883932569905525,0.23502157242971136
000080.KS,0.09999999999999999,0.002673845597467381,0.37159494497545725,0.2351571714874573
000080.KS,0.11,0.002908386232780004,0.37432470422972997,0.23523047268104805
000080.KS,0.12,0.0033322613898198504,0.3770644418586499,0.23521451413931282
000080.KS,0.13,0.0039141226287863085,0.37908523438187824,0.23552923722130417
000080.KS,0.14,0.004149100418262299,0.3807220357111556,0.23598858519831797
000080.KS,0.15000000000000002,0.004362078816442084,0.38238158577785575,0.23644446880376155
000080.KS,0.16,0.00453512637007561,0.38412148355551606,0.23682554578889345
000080.KS,0.17,0.004755626869283816,0.38588687632122826,0.23715470516413337
000080.KS,0.18000000000000002,0.004913983011216384,0.3877407067020858,0.2373915054875848
000080.KS,0.19,0.005153473126007571,0.3897681503114261,0.2374755216997824
000080.KS,0.2,0.005550512053072059,0.3913382458780772,0.237756990836416
000080.KS,0.21000000000000002,0.0058067316371489515,0.3927489144284955,0.23806403114108401
000080.KS,0.22,0.006014442433640598,0.3941170404714258,0.2383933095800872
000080.KS,0.23,0.006323748362638602,0.39536205572375505,0.2387630578405163
000080.KS,0.24000000000000002,0.006571765163234614,0.3964704664757046,0.2392173360440145
000080.KS,0.25,0.006722807944324961,0.397533801674414,0.2396319103666351
000080.KS,0.26,0.006888659210299102,0.3987013725898884,0.2399990868053569
000080.KS,0.27,0.007134040481552922,0.399858488142787,0.24032341362074103
000080.KS,0.28,0.0073119704176024276,0.4010505391730983,0.24062967311549974
000080.KS,0.29000000000000004,0.007531338705215277,0.4022986428860611,0.24087506355643043
000080.KS,0.3,0.007843114338305694,0.40337150446040937,0.24118489272162422
000080.KS,0.31,0.008090168893640287,0.40428085034921185,0.24156807046027184
000080.KS,0.32,0.008316038798008685,0.4050537244794324,0.2420200885182055
000080.KS,0.33,0.008463270445345507,0.40592858138513366,0.24241348011585637
000080.KS,0.34,0.008731700812466143,0.4068345310498022,0.2427543051316925
000080.KS,0.35000000000000003,0.008928606812853217,0.40771980852999645,0.24311567985891488
000080.KS,0.36000000000000004,0.0091326229723975,0.4086233412532858,0.24345289309677193
000080.KS,0.37,0.009389741753068703,0.4094898691442146,0.24379507809596984
000080.KS,0.38,0.009592130606986505,0.4103707491327119,0.2441162134369856
000080.KS,0.39,0.00977342011521533,0.41131744645021723,0.24438238869899068
000080.KS,0.4,0.009950295373254547,0.4124505266908765,0.2445148883286848
000080.KS,0.41000000000000003,0.010269299724920019,0.4135469977428199,0.24460035281221815
000080.KS,0.42000000000000004,0.010575590587143375,0.41444559793700153,0.24477036232479174
000080.KS,0.43,0.01080229273582796,0.41518083842987924,0.24500535942214963
000080.KS,0.44,0.01104166719230776,0.415994161277862,0.24517563660916822
000080.KS,0.45,0.011336072387564407,0.41674378620469826,0.24535186460761346
000080.KS,0.46,0.011560917120118775,0.41740707059197873,0.24555479510846742
000080.KS,0.47000000000000003,0.011834460009999031,0.4180195564286112,0.24575292128107915
000080.KS,0.48000000000000004,0.012045552376487542,0.4186771086797232,0.2459247259106993
000080.KS,0.49,0.012270130514438286,0.4194402964303082,0.24601088226419196
000080.KS,0.5,0.012552490882048368,0.4202486084053752,0.2460312349892433
000080.KS,0.51,0.012840922841687037,0.4209733145228145,0.2460521272667353
000080.KS,0.52,0.013186980007971335,0.4215297966636468,0.24612697021833801
000080.KS,0.53,0.013495459870792027,0.42196282860415174,0.246248089056766
000080.KS,0.54,0.013793507565901269,0.4220810585847587,0.2465303719187735
000080.KS,0.55,0.014084688079193336,0.42222084749675864,0.24683286226449475
000080.KS,0.56,0.014388728687147885,0.422244052214504,0.24723007619424325
000080.KS,0.5700000000000001,0.014639772046160708,0.4222606965839166,0.24767528126902788
000080.KS,0.5800000000000001,0.014815191246107523,0.42253490924166376,0.24802516966776986
000080.KS,0.59,0.01516829011849121,0.42304204246295085,0.2482480032133408
000080.KS,0.6,0.015504241513618637,0.42335512965139555,0.2485775292634914
000080.KS,0.61,0.015815103020316624,0.42363541409675154,0.24893316760915388
000080.KS,0.62,0.016222857584814822,0.4238386967781043,0.2493678331860305
000080.KS,0.63,0.016540887006425573,0.42400288116007917,0.24987358182750133
000080.KS,0.64,0.016854329389317527,0.42400716526360444,0.2505344874644029
000080.KS,0.65,0.017192380152598226,0.42433538267303395,0.2510902951255563
000080.KS,0.66,0.017566812847712124,0.4246504465489087,0.25170866677107384
000080.KS,0.67,0.017977648937098217,0.42504883629221013,0.25231289544913643
000080.KS,0.68,0.018398998447505012,0.42529915034164023,0.2530867330344739
000080.KS,0.6900000000000001,0.018868439451152852,0.4253933130778284,0.2540531361781429
000080.KS,0.7000000000000001,0.019293261249972927,0.4251743887082368,0.255373626305488
000080.KS,0.7100000000000001,0.0196763809866766,0.4250689328792697,0.25688219157554193
000080.KS,0.72,0.02010888324937011,0.42531603241296567,0.2584533246755472
000080.KS,0.73,0.020507310822934905,0.425777888285186,0.26016623311714565
000080.KS,0.74,0.021043189214561712,0.4268826340700757,0.2616884745490656
000080.KS,0.75,0.02150613846068476,0.4281237879044345,0.26335357142296295
000080.KS,0.76,0.022101588356389125,0.4298285054253841,0.2649099489355958
000080.KS,0.77,0.02261967024876183,0.4321247139104867,0.26620676781836206
000080.KS,0.78,0.023365613379246978,0.4347249608148518,0.26725621710707187
000080.KS,0.79,0.024009515471718684,0.43703933891965063,0.2683665964942888
000080.KS,0.8,0.024660596079349464,0.44023924714838825,0.26880224095527594
000080.KS,0.81,0.025439349257318063,0.4442312920717547,0.2682291719034848
000080.KS,0.8200000000000001,0.026447897061895185,0.4472414635164092,0.26738618308468237
000080.KS,0.8300000000000001,0.027457602765152068,0.44992943771516086,0.2659020328804048
000080.KS,0.8400000000000001,0.028376135447990593,0.45113798206877903,0.26445009199188924
000080.KS,0.85,0.029194121185513844,0.45152279525140127,0.26285321001149725
000080.KS,0.86,0.030381427230594848,0.4521870367945297,0.2602548170648806
000080.KS,0.87,0.031415051741385994,0.45209255147014216,0.2571623053796036
000080.KS,0.88,0.03257626292361345,0.4489668352456056,0.25487118687177973
000080.KS,0.89,0.03390139378189893,0.44548131629241566,0.25270804459687485
000080.KS,0.9,0.034824666681471134,0.4422498950692716,0.2506562182019913
000080.KS,0.91,0.03636758176423964,0.4391226596709814,0.24821839063095058
000080.KS,0.92,0.03813488254835874,0.4360179568025406,0.24562313555027163
000080.KS,0.93,0.040142499470909726,0.4351986324834,0.24074809805617678
000080.KS,0.9400000000000001,0.04322324883265316,0.43435251329240954,0.23010991692673546
000080.KS,0.9500000000000001,0.04636613853077564,0.42209843703470284,0.22085959795456803
000080.KS,0.9600000000000001,0.05017831314348109,0.40857988797531514,0.21213745057251784
000080.KS,0.97,0.05617672675885956,0.4039978728499982,0.18619032651431244
000080.KS,0.98,0.06445315581373526,0.36878053555172113,0.1314871330486878
000080.KS,0.99,0.08191825107132765,0.21192700467034917,-0.05605253819988747
000100.KS,0.01,5.139183020415243e-08,0.30094439298935705,0.21246757577874464
000100.KS,0.02,1.240210982213008e-07,0.30589454293863344,0.21232483689395806
